iter	Passed	Remaining
411	3759	5366
412	3768	5356
413	3776	5345
414	3785	5336
415	3793	5326
416	3802	5315
417	3810	5306
418	3820	5297
419	3828	5286
420	3837	5277
421	3846	5268
422	3855	5259
423	3866	5252
424	3874	5241
425	3883	5233
426	3892	5223
427	3901	5213
428	3909	5203
429	3919	5195
430	3927	5184
431	3935	5175
432	3944	5164
433	3953	5155
434	3962	5146
435	3970	5136
436	3979	5127
437	3987	5116
438	3997	5108
439	4005	5098
440	4014	5089
441	4022	5078
442	4030	5067
443	4038	5057
444	4048	5048
445	4056	5038
446	4064	5028
447	4072	5017
448	4079	5006
449	4086	4994
450	4094	4983
451	4102	4974
452	4110	4964
453	4118	4953
454	4127	4943
455	4135	4933
456	4144	4924
457	4152	4914
458	4162	4905
459	4169	4895
460	4177	4884
461	4185	4873
462	4192	4862
463	4200	4852
464	4209	4843
465	4216	4832
466	4225	4822
467	4233	4812
468	4241	4802
469	4249	4792
470	4257	4781
471	4265	4772
472	4274	4762
473	4282	4752
474	4290	4742
475	4298	4731
476	4306	4722
477	4314	4711
478	4322	4701
479	4329	4690
480	4337	4680
481	4343	4668
482	4350	4656
483	4357	4646
484	4364	4634
485	4372	4623
486	4378	4612
487	4385	4600
488	4390	4588
489	4396	4576
490	4403	4564
491	4409	4553
492	4417	4542
493	4425	4533
494	4432	4522
495	4441	4513
496	4447	4501
497	4454	4490
498	4462	4480
499	4468	4468
500	4475	4457
501	4482	4446
502	4489	4435
503	4495	4424
504	4502	4413
505	4509	4402
506	4517	4392
507	4523	4381
508	4531	4370
509	4538	4360
510	4546	4350
511	4553	4339
512	4560	4328
513	4566	4317
514	4573	4306
515	4581	4297
516	4589	4287
517	4596	4277
518	4603	4266
519	4609	4255
520	4615	4243
521	4622	4232
522	4629	4222
523	4636	4211
524	4643	4201
525	4651	4191
526	4657	4180
527	4664	4169
528	4671	4159
529	4680	4150
530	4687	4140
531	4695	4130
532	4703	4120
533	4712	4112
