iter	Logloss
0	0.670873422
1	0.6528003993
2	0.6353976997
3	0.6177529961
4	0.6010792382
5	0.5856882689
6	0.5714716166
7	0.5573065557
8	0.5467129456
9	0.5335576887
10	0.5225619916
11	0.510469891
12	0.5023101304
13	0.4936774849
14	0.4864162217
15	0.4779268578
16	0.4692621961
17	0.4604335899
18	0.4532017805
19	0.447506343
20	0.4417444305
21	0.4352632825
22	0.4292817394
23	0.4239153789
24	0.4176666916
25	0.4114579122
26	0.4058062265
27	0.4016796342
28	0.397843161
29	0.3928042552
30	0.3885463874
31	0.3853565231
32	0.38217357
33	0.3781969637
34	0.375546705
35	0.3731582309
36	0.3697598916
37	0.3659357914
38	0.3617001805
39	0.3586088454
40	0.355120074
41	0.3526856799
42	0.3501733378
43	0.3467663245
44	0.3449934654
45	0.3409721134
46	0.338153765
47	0.336061801
48	0.3342601263
49	0.3324642391
50	0.3309505358
51	0.3296078087
52	0.3281128726
53	0.3268405627
54	0.325100922
55	0.3234738673
56	0.3223215052
57	0.3209852175
58	0.3196285588
59	0.3177932058
60	0.316495458
61	0.3148430519
62	0.314011358
63	0.312502319
64	0.3089496353
65	0.3077303232
66	0.3061124162
67	0.3048449991
68	0.3032947624
69	0.3017297436
70	0.3010304991
71	0.2986875917
72	0.2972409194
73	0.2957120289
74	0.294587028
75	0.2926426487
76	0.291107448
77	0.2900937262
78	0.2886109942
79	0.2869050958
80	0.2856201417
81	0.2849805402
82	0.2843140658
83	0.2837335205
84	0.2816290703
85	0.2809683848
86	0.279483154
87	0.278742249
88	0.2776235061
89	0.2762911359
90	0.2743939073
91	0.2738506763
92	0.2730468498
93	0.2723568571
94	0.2707293342
95	0.2701768091
96	0.2694122307
97	0.2688300331
98	0.2673419996
99	0.2662960045
100	0.265268641
101	0.2641497995
102	0.2636034238
103	0.2629202251
104	0.2619823843
105	0.2615131504
106	0.2606613264
107	0.2601883571
108	0.2592713618
109	0.2579702018
110	0.2570338595
111	0.2565012492
112	0.2534693307
113	0.2530382653
114	0.2523596993
115	0.2519389381
116	0.2513420936
117	0.2509858739
118	0.250483879
119	0.2494099171
120	0.2489372655
121	0.2485590841
122	0.2482743229
123	0.2479206329
124	0.2476687879
125	0.2463224724
126	0.2453781054
127	0.2446437381
128	0.2429237502
129	0.2425363345
130	0.2422022615
131	0.2416563028
132	0.2411733115
133	0.2403739305
134	0.2398638729
135	0.2392109605
136	0.2387839848
137	0.2380454934
138	0.2373334028
139	0.2370146496
140	0.235709079
141	0.235497125
142	0.2353298261
143	0.2349183232
144	0.2341405591
145	0.2334646458
146	0.232885474
147	0.2326549899
148	0.2322005152
149	0.2313556945
150	0.2307065086
151	0.2303143167
152	0.2296236838
153	0.2294227626
154	0.2288309092
155	0.2274520398
156	0.2269976085
157	0.2265336428
158	0.2263767353
159	0.2257840355
160	0.2253172564
161	0.2248601605
162	0.2246870872
163	0.2244145739
164	0.2241788696
165	0.2238056283
166	0.223007337
167	0.2228399319
168	0.2218191419
169	0.2205249326
170	0.2199806917
171	0.2197557256
172	0.21850511
173	0.2181983434
174	0.2179714355
175	0.2174512647
176	0.2169081415
177	0.2167748107
178	0.2164513298
179	0.2160867266
180	0.2156384674
181	0.2151446663
182	0.2149128097
183	0.214626792
184	0.2140436324
185	0.213629304
186	0.2131262279
187	0.212991039
188	0.2128563499
189	0.2127414005
190	0.2125497262
191	0.2121795506
192	0.2120611386
193	0.2112656995
194	0.2110970996
195	0.2107643837
196	0.2103177835
197	0.2101758189
198	0.2100766376
199	0.2097337751
200	0.2096166325
201	0.2093379235
202	0.2089398044
203	0.2088115526
204	0.2086432622
205	0.2083452412
206	0.208139056
207	0.2080679525
208	0.2075917063
209	0.2074683477
210	0.2073389906
211	0.2067269164
212	0.2065900986
213	0.2062679723
214	0.2054820278
215	0.2051432982
216	0.2048076747
217	0.2045531369
218	0.2042429095
219	0.2041231558
220	0.2036978492
221	0.2034526338
222	0.203328989
223	0.203085007
224	0.2028592007
225	0.2026630107
226	0.2025160538
227	0.2017750463
228	0.2016744003
229	0.2015268569
230	0.2010809691
231	0.2006774407
232	0.2005612115
233	0.2004977194
234	0.2000701631
235	0.1997956035
236	0.199662018
237	0.19956444
238	0.1994705673
239	0.1992363857
240	0.1990425087
241	0.1986213163
242	0.1984879933
243	0.198265313
244	0.1980426665
245	0.1979431064
246	0.1973415873
247	0.1972115105
248	0.1971351834
249	0.1968840561
250	0.1967521215
251	0.1965523227
252	0.196469542
253	0.1962268008
254	0.1961737697
255	0.1957640589
256	0.1956015091
257	0.1954282696
258	0.1952812131
259	0.1951394333
260	0.1950876993
261	0.1948934009
262	0.1944740505
263	0.1942080087
264	0.1941059265
265	0.1939605519
266	0.1937014982
267	0.1936184129
268	0.1934973587
269	0.1932116539
270	0.1930727131
271	0.1929600406
272	0.192654833
273	0.1923002196
274	0.1920020663
275	0.1918806678
276	0.1917634545
277	0.1916484765
278	0.1915918541
279	0.1914430307
280	0.1911999729
281	0.191093549
282	0.1907927502
283	0.1906348917
